node,latency_s
1,0.000290489
10,0.626927486
100,0.567248829
11,0.384957275
12,0.116429078
13,0.433099234
14,0.429420588
15,0.44563293
16,0.543212597
17,0.531666382
18,0.450646828
19,0.580509001
2,0.411966048
20,0.116384799
21,0.342748183
22,0.73635334
23,0.806097479
24,0.609946574
25,0.250912763
26,0.742544451
27,0.45291538
28,0.429568134
29,0.445609333
3,0.412543373
30,0.516407745
31,0.200791045
32,0.44540646
33,0.356334091
34,0.56401618
35,0.396054534
36,0.581612002
37,0.342322247
38,0.331899884
39,0.452430109
4,0.641867417
40,0.574243905
41,0.608327283
42,0.374283603
43,0.251043895
44,0.539109296
45,0.559308719
46,0.517046949
47,0.5172435
48,0.429568201
49,0.602251122
5,0.251030227
50,0.321776185
51,0.423725661
52,0.400405248
53,0.543062972
54,0.738877187
55,0.395553009
56,0.60828436
57,0.554045465
58,0.331822459
59,0.610272781
6,0.535684254
61,0.116428721
62,0.200912105
63,0.736147285
64,0.351877864
65,0.617856897
66,0.423699872
67,0.385244271
68,0.451984464
69,0.356499728
7,0.532335601
70,0.342480953
71,0.618002905
72,0.445400987
73,0.564093555
74,0.384954534
75,0.555541433
76,0.374287509
77,0.573401947
78,0.200773555
79,0.628577435
8,0.535365473
80,0.619680858
81,0.433355967
82,0.516586149
83,0.351971558
84,0.322737302
85,0.620911084
86,0.553268112
87,0.37428674
88,0.450627618
89,0.411831192
9,0.64125419
90,0.574618619
91,0.943453216
92,0.559272777
93,0.778999838
94,0.250923591
95,0.116431506
96,0.452336103
97,0.342552537
98,0.374320393
99,0.356370566
