node,messages
1,8
10,6
100,8
11,8
12,9
13,8
14,10
15,10
16,9
17,9
18,10
19,9
2,12
20,7
21,7
22,5
23,5
24,7
25,6
26,5
27,8
28,8
29,9
3,7
30,7
31,8
32,8
33,11
34,10
35,9
36,8
37,7
38,8
39,9
4,6
40,9
41,7
42,12
43,11
44,6
45,7
46,8
47,7
48,14
49,7
5,9
50,8
51,6
52,12
53,5
54,5
55,8
56,9
57,8
58,12
59,9
6,7
61,8
62,9
63,5
64,7
65,6
66,10
67,10
68,8
69,8
7,6
70,6
71,6
72,8
73,6
74,7
75,13
76,7
77,8
78,7
79,6
8,11
80,8
81,9
82,7
83,8
84,6
85,7
86,5
87,12
88,6
89,9
9,7
90,8
91,5
92,7
93,6
94,8
95,16
96,8
97,6
98,8
99,7
