Node,Latency (s)
1,7.8889e-05
10,1.443006051
11,0.627626893
12,0.637694319
15,1.050926856
16,0.835840508
18,0.642609621
19,1.038833346
2,0.852992735
20,0.637443179
21,0.446451304
22,0.427219725
23,0.856797425
24,1.041954463
25,0.835935902
26,0.446445974
27,1.225663051
29,1.050759408
3,1.447357067
30,0.224142449
31,1.235111627
32,1.024406076
35,0.830813829
36,0.829881786
37,0.637846368
38,1.235116793
4,1.447443772
40,0.627623909
5,1.027621731
6,1.024225549
7,0.224187259
8,0.427220338
9,0.856844753
